amount,hour_of_day,account_age,is_weekend,rolling_avg_amount,rolling_max_amount,rolling_std_amount,txn_count,amount_vs_avg_ratio,prediction
3.638731411388578,17,630,0,124.17483657437928,191.61051424921607,11.594581802893675,7,1.2851304104180443,1.6819542e-05
26.274478380362314,13,2353,0,55.77116654128039,284.89756378165674,14.220609224212254,4,1.491554459580813,1.6819542e-05
3.2001000446975154,16,1863,1,98.14538913959399,31.286563396124087,36.22932263903484,7,1.2780742244688137,1.6819542e-05
11.821956470336884,10,1011,0,11.858034298814298,200.892163128853,29.440599111394064,3,1.1817745663612702,1.6819542e-05
48.798377782835345,9,762,1,31.009105682418596,30.068323025198126,28.903349912800195,3,1.6520547652778856,1.6819542e-05
17.686022643249228,17,1380,1,6.841501692602776,31.059033075643722,42.612965850122904,8,1.8010829439227374,1.6819542e-05
83.82852007425824,19,400,1,62.3688631074028,176.1505608429777,13.373645409184334,3,1.0425435687127063,1.6819542e-05
19.510755186208055,10,2207,1,28.188452918509377,115.8321156636032,10.887402633458755,4,1.5086980316020955,1.6819542e-05
12.567270721444043,15,1061,0,12.483228857253449,45.88218900786401,10.07782136726334,9,0.6290225891985465,1.6819542e-05
18.233660773651774,16,164,1,11.235628089101255,43.642115727769124,6.506052018877444,3,1.9318161160356278,1.6819542e-05
89.10663387597133,12,2970,1,7.1744255062705795,35.32994211140279,23.373325137870143,1,1.4111447272683715,1.6819542e-05
44.78191842418764,8,285,1,17.4922470194439,91.73343393533898,28.179033164722956,4,1.4698557327385302,1.6819542e-05
13.088344657073513,11,853,1,67.90458292610502,97.78051300830629,32.56173277116352,2,1.104939421567336,1.6819542e-05
70.96758032753728,21,2600,0,27.50090762893706,197.50096402605988,9.624222834733862,9,1.3135975403287758,1.6819542e-05
9.108813683031086,17,2214,1,1.7062249117254815,96.31984201061002,42.33626416080058,6,0.8483340038690261,1.6819542e-05
61.339095243327804,11,1517,1,37.03365664871743,81.62159705320391,37.790091665847626,3,0.8968452088448766,1.6819542e-05
16.043688565562707,11,570,1,13.77111633886458,97.1420241885184,41.959068747550894,1,1.0175003663899032,1.6819542e-05
51.55998239607936,19,296,1,50.82589643120265,36.53922039898529,7.566877391432552,7,0.9977888093622242,1.6819542e-05
